POSTED_BY,UNDER_CONSTRUCTION,RERA,BHK_NO.,BHK_OR_RK,SQUARE_FT,READY_TO_MOVE,RESALE,ADDRESS,LONGITUDE,LATITUDE,TARGET(PRICE_IN_LACS)
Owner,0,0,2,BHK,1311.3651240407921,1,1,"Ksfc Layout,Bangalore",12.96991,77.59796,54.77184516795859
Dealer,0,0,2,BHK,1275.326591684996,1,1,"Vishweshwara Nagar,Mysore",12.274538,76.644605,50.46752479953771
Owner,0,0,2,BHK,954.758264362704,1,1,"Jigani,Bangalore",12.778033,77.632191,44.40417058005613
Owner,0,1,2,BHK,935.7021768307317,1,1,"Sector-1 Vaishali,Ghaziabad",28.6423,77.3445,60.110613180174354
Dealer,1,0,2,BHK,998.8714239350204,0,1,"New Town,Kolkata",22.5922,88.484911,60.07808361308273
Owner,0,0,3,BHK,1234.6303466183697,1,1,"South Chittoor,Kochi",10.03328,76.28257099999999,41.28815527452934
Dealer,0,0,3,BHK,1518.753428609842,1,1,"Sodala,Jaipur",26.916347,75.7956,65.82694414745083
Owner,0,1,3,BHK,1186.4307310309673,1,1,"Kharar,Mohali",30.74,76.65,50.95607521615198
Dealer,0,1,2,BHK,1016.4451498492648,1,1,"Bileshivale,Bangalore",13.054202,77.674002,42.426673677154334
Owner,0,1,2,BHK,874.5088083326802,1,1,"Chromepet,Chennai",12.95161,80.14097,35.89080285407074
Owner,0,0,3,BHK,1347.7290080517594,1,1,"Deshbandhu Para,Siliguri",26.724219,88.326357,35.2761324512087
Dealer,0,0,2,BHK,1339.8850336968887,1,1,"Hebbal,Bangalore",13.04034,77.591347,111.6724149875561
Owner,0,0,2,BHK,925.7296329700301,1,1,"Garebhavipalya,Bangalore",12.96991,77.59796,47.743116824550356
Owner,0,1,2,BHK,1132.679019876655,1,1,"Sector-119 Noida,Noida",28.587711,77.403123,62.53114209641531
Owner,0,0,1,BHK,644.1979194579219,1,1,"sanjay nagar,Raigad",13.0352,77.5772,19.9742662534682
Dealer,1,1,3,BHK,1393.3193120778933,0,1,"Sector-150 Noida,Noida",28.429614,77.481711,71.3556891032186
Owner,0,0,3,BHK,1794.3348969934534,1,1,"Jharapada,Bhubaneswar",20.275267000000003,85.86240699999999,81.01601825758353
Dealer,1,1,3,BHK,2118.468399644428,0,1,"Konanakunte,Bangalore",12.8855,77.5638,178.00156127224886
Owner,0,0,2,BHK,1101.7646675401074,1,1,"Nagpur Road,Wardha",21.15389,79.08306,21.363254700117604
Dealer,0,1,3,BHK,2167.568511243034,1,1,"Kogilu,Bangalore",13.092356,77.61346800000001,123.54297180975928
Owner,0,0,2,BHK,863.799287694725,1,1,"Poonamallee,Chennai",13.05,80.11,44.929894229972064
Dealer,0,0,2,BHK,947.8773348995071,1,1,"Undri,Pune",18.452663,73.93104,41.78684907654458
Dealer,0,1,3,BHK,1340.9543967295979,1,1,"Sector-134 Noida,Noida",28.5041,77.381557,53.729941543162866
Dealer,0,0,1,BHK,620.5756601267241,1,1,"Bandra (West),Mumbai",19.05444,72.84056,298.1323978346887
Dealer,0,0,2,BHK,1233.0528355015385,1,1,"Narendra Nagar,Nagpur",21.105779,79.078497,49.30873940880538
Owner,0,0,2,BHK,796.3025485083105,1,1,"Kudgat,Kolkata",22.54111,88.33778000000001,27.37510138882755
Owner,0,0,3,BHK,1585.0046976581505,1,1,"Sain Vihar,Ghaziabad",28.63601,77.433724,46.62997444746091
Dealer,0,0,2,BHK,1195.8246162088258,1,1,"Sector-115 Mohali,Mohali",30.712867,76.648557,22.328092307982395
Owner,1,0,2,BHK,1005.7806968304967,0,1,"Mohan Asram,Deoghar",24.48,86.7,38.508869584594045
Dealer,0,0,2,BHK,983.8225066245735,1,1,"Alwar Bypass Road,Bhiwadi",28.2102,76.8606,12.578527769224449
Dealer,0,0,3,BHK,1402.8865547980436,1,1,"Sector 84 Faridabad,Faridabad",28.40473,77.367514,51.180977361050616
Dealer,0,1,2,BHK,968.6214192878169,1,1,"Sector-134 Noida,Noida",28.5041,77.381557,33.04306293020691
Owner,0,0,2,BHK,1160.0861964907929,1,1,"Indra Colony,Jaipur",26.586306,74.873234,54.962775241963996
Dealer,1,1,1,BHK,866.6338073436451,0,1,"Thane West,Lalitpur",19.18,72.96333,79.98366883065647
Dealer,0,1,2,BHK,858.2301121571295,1,0,"Mulund (West),Maharashtra",19.1759,72.9522,236.24166381478832
Owner,0,0,3,BHK,1164.6612368926756,1,1,"Thalambur,Chennai",12.852171,80.216826,56.50015575470932
Dealer,1,1,2,BHK,996.8872530605407,0,1,"Wakad,Pune",18.5993,73.7625,64.40063364708557
Owner,0,0,4,BHK,1653.3099207103137,1,1,"Vasna,Vadodara",22.312063,72.674296,62.736428384047514
Dealer,1,0,2,BHK,996.41478348865,0,1,"Madhurawada,Visakhapatnam",17.815234,83.35818,34.86582932134049
Owner,0,0,3,BHK,1292.314096211366,1,1,"Vasanthapura,Bangalore",12.894088,77.548914,73.93529722386093
Dealer,1,1,1,BHK,39806.4332761884,0,0,"Kanjur Marg (East),Lalitpur",24.69028,78.41889,8906.54431199252
Dealer,0,1,2,BHK,1053.9963892001674,1,1,"Sus,Pune",18.539812,73.737678,64.39535013236512
Dealer,1,0,1,BHK,395.8051190253556,0,1,"Kharadi,Pune",18.5438,73.9438,30.229581569325553
Dealer,0,1,3,BHK,1269.795739549452,1,1,"Marol,Mumbai",22.803593,83.755013,249.65294937755135
